seed,perturbation,intensity,strength,performance_base,performance_perturbed,structural_difference,sim_Feature Graph,sim_Tree Descriptor,sim_Leaf Profile,sim_Topological Forest,sim_INDTree
# Fold 0
42,change_threshold,0.2,0,0.9487179487179487,0.9487179487179487,0.0,1.0,1.0,1.0,1.0,1.0
42,change_threshold,0.4,0,0.9487179487179487,0.6923076923076923,0.5,0.6998895265366525,0.9842771715115921,0.7767416512450283,1.0,1.0
42,change_threshold,0.6,0,0.9487179487179487,0.6153846153846154,1.0,0.6998895265366525,0.9595354227402851,0.7365327695838694,1.0,1.0
42,change_threshold,0.8,0,0.9487179487179487,0.5128205128205128,1.2342372843493885,0.5763547260608618,0.938988296715328,0.6038453468731101,1.0,1.0
42,change_threshold,1.0,0,0.9487179487179487,0.23076923076923078,1.4681261794342173,0.5090454243532483,0.9357281617685823,0.5868039089270897,1.0,1.0
42,change_feature,0.2,0,0.9487179487179487,0.9487179487179487,0.0,1.0,1.0,1.0,1.0,1.0
42,change_feature,0.4,0,0.9487179487179487,0.9487179487179487,2.0,0.622268175986118,0.9654218438035265,0.9537869375194938,0.0,0.8646556505017903
42,change_feature,0.6,0,0.9487179487179487,0.9743589743589743,4.0,0.6155238376732354,0.6792266656278056,0.9264622168543712,0.0,0.8488115558005274
42,change_feature,0.8,0,0.9487179487179487,0.8205128205128205,6.0,0.6423629508921448,0.955952149336107,0.8848399848671203,1.0,0.7585908162181979
42,change_feature,1.0,0,0.9487179487179487,0.8205128205128205,8.0,0.6413887001276863,0.9017370608093223,0.8865061750757596,0.0,0.7152271986270816
42,swap_nodes,0.2,0,0.9487179487179487,0.9487179487179487,0.0,1.0,1.0,1.0,1.0,1.0
42,swap_nodes,0.4,0,0.9487179487179487,0.9487179487179487,0.0,1.0,1.0,1.0,1.0,1.0
42,swap_nodes,0.6,0,0.9487179487179487,0.9487179487179487,4.0,0.6217846868266416,0.9982826602052676,0.7586856427665186,1.0,0.9042601858899902
42,swap_nodes,0.8,0,0.9487179487179487,0.9487179487179487,4.0,0.6217846868266416,0.9982826602052676,0.7586856427665186,1.0,0.9042601858899902
42,swap_nodes,1.0,0,0.9487179487179487,0.5897435897435898,8.0,0.6337351573416541,0.9965028302447092,0.7365327695838694,1.0,0.8166374610295735
42,remove_nodes,0.2,0,0.9487179487179487,0.9487179487179487,2.0,0.7415410301775627,0.6908145489124905,0.9624090422083753,0.0,0.9122508196904714
42,remove_nodes,0.4,0,0.9487179487179487,0.9487179487179487,4.0,0.6151962796214182,0.5900525417753666,0.9292832556534564,0.0,0.9004215643599518
42,remove_nodes,0.6,0,0.9487179487179487,0.9487179487179487,4.0,0.6151962796214182,0.5900525417753666,0.9292832556534564,0.0,0.9004215643599518
42,remove_nodes,0.8,0,0.9487179487179487,0.6923076923076923,6.0,0.5244713563872704,0.50445896230147,0.7088581453826196,0.0,0.7730175427384802
42,remove_nodes,1.0,0,0.9487179487179487,0.23076923076923078,8.0,0.6119608678620981,0.320543871537754,0.57322062033784,0.0,0.7522937219639452
42,add_nodes,0.2,0,0.9487179487179487,0.9487179487179487,2.0,0.7415410301775627,0.9970583714501903,1.0,1.0,0.9141536732095532
42,add_nodes,0.4,0,0.9487179487179487,0.9487179487179487,4.0,0.7584629805971129,0.995532975828119,0.9798442326854284,0.0,0.9284818232321375
42,add_nodes,0.6,0,0.9487179487179487,0.9487179487179487,4.0,0.7584629805971129,0.995532975828119,0.9798442326854284,0.0,0.9284818232321375
42,add_nodes,0.8,0,0.9487179487179487,0.9487179487179487,6.0,0.7584629805971129,0.9940052009416585,0.9798442326854284,0.0,0.9284818232321375
42,add_nodes,1.0,0,0.9487179487179487,0.9487179487179487,8.0,0.7639337841758584,0.992182432363483,0.9798442326854284,0.0,0.9395898795062338
43,change_threshold,0.2,0,0.9444444444444444,0.9444444444444444,0.2724561494678748,0.8737544477836237,0.9944882289118996,0.9339591174686886,1.0,1.0
43,change_threshold,0.4,0,0.9444444444444444,0.9444444444444444,0.564274324961068,0.8737544477836237,0.9938775146964149,0.8983619479438334,1.0,1.0
43,change_threshold,0.6,0,0.9444444444444444,0.8888888888888888,0.6860925041389119,0.8182641083996801,0.9936005635881203,0.7983562929137908,1.0,1.0
43,change_threshold,0.8,0,0.9444444444444444,0.8888888888888888,1.1810048014015486,0.6176450507684639,0.9349402853758855,0.7983562929137908,1.0,1.0
43,change_threshold,1.0,0,0.9444444444444444,0.8888888888888888,1.6810048014015486,0.6176450507684639,0.8275197709656911,0.7983562929137908,1.0,1.0
43,change_feature,0.2,0,0.9444444444444444,0.9444444444444444,0.0,1.0,1.0,1.0,1.0,1.0
43,change_feature,0.4,0,0.9444444444444444,0.9444444444444444,2.0,0.6267761610803052,0.7363582966155544,0.9860550753913473,1.0,0.8626389243668167
43,change_feature,0.6,0,0.9444444444444444,0.9444444444444444,2.0,0.6267761610803052,0.7363582959711886,0.9860550753913473,1.0,0.8626389243668167
43,change_feature,0.8,0,0.9444444444444444,0.4166666666666667,4.0,0.49934258594861597,0.7595081303213969,0.6565486359933177,0.0,0.7610894630614042
43,change_feature,1.0,0,0.9444444444444444,0.4166666666666667,6.0,0.49934258594861597,0.7627020601629142,0.6565486359933177,1.0,0.7627692125903901
43,swap_nodes,0.2,0,0.9444444444444444,0.9444444444444444,0.0,1.0,1.0,1.0,1.0,1.0
43,swap_nodes,0.4,0,0.9444444444444444,0.9444444444444444,4.0,0.8041589138152125,0.9998816246354553,0.8865063195939634,1.0,0.9140645215983714
